Name,Calle,"Colonia, Estado",inmueble en operacion,Precio,habitaciones,baños,estacionamientos,metros totales,Media_01,Media_02,Media_03,Media_04,Media_05,Media_06,Media_07,Media_08,Media_09,Media_10
DHR-997_Proyecto_(4-5)_Post,Avenida Club de Golf Lomas 14,"Lomas Country Club, Huixquilucan",[ Departamento en Venta ],"$7,150,000.00 mxn",3 HABITACIONES,3 BAÑOS,3 ESTACIONAMIENTOS,200 m² TOTALES,DHR-997-photo-01-de-29.jpg,DHR-997-photo-02-de-29.jpg,DHR-997-photo-03-de-29.jpg,DHR-997-photo-04-de-29.jpg,DHR-997-photo-05-de-29.jpg,DHR-997-photo-06-de-29.jpg,DHR-997-photo-07-de-29.jpg,DHR-997-photo-08-de-29.jpg,DHR-997-photo-09-de-29.jpg,DHR-997-photo-10-de-29.jpg
DHU-306_Diamond_House_(4-5)_Post,Hacienda el Ciervo 7a,"Hacienda de las Palmas, Huixquilucan",[ Departamento en Venta ],"$8,200,000.00 mxn",3 HABITACIONES,3 BAÑOS,3 ESTACIONAMIENTOS,270 m² TOTALES,DHU-306-photo-01-de-30.jpg,DHU-306-photo-02-de-30.jpg,DHU-306-photo-03-de-30.jpg,DHU-306-photo-04-de-30.jpg,DHU-306-photo-05-de-30.jpg,DHU-306-photo-06-de-30.jpg,DHU-306-photo-07-de-30.jpg,DHU-306-photo-08-de-30.jpg,DHU-306-photo-09-de-30.jpg,DHU-306-photo-10-de-30.jpg
DHY-061_Opcion_Inmobiliaria_(4-5)_Post,Ixcateopan 83,"Vertiz Narvarte, Benito Juárez",[ Departamento en Venta ],"$4,990,000.00 mxn",2 HABITACIONES,2 BAÑOS,1 ESTACIONAMIENTO,89 m² TOTALES,DHY-061-photo-01-de-15.jpg,DHY-061-photo-02-de-15.jpg,DHY-061-photo-03-de-15.jpg,DHY-061-photo-04-de-15.jpg,DHY-061-photo-05-de-15.jpg,DHY-061-photo-06-de-15.jpg,DHY-061-photo-07-de-15.jpg,DHY-061-photo-08-de-15.jpg,DHY-061-photo-09-de-15.jpg,DHY-061-photo-10-de-15.jpg
DHZ-333_Vive_Capital_BR_(4-5)_Post,Via Villa Florence 4,"Jesús del Monte, Huixquilucan",[ Departamento en Venta ],"$9,200,000.00 mxn",3 HABITACIONES,3 BAÑOS,2 ESTACIONAMIENTOS,276 m² TOTALES,DHZ-333-photo-01-de-17.jpg,DHZ-333-photo-02-de-17.jpg,DHZ-333-photo-03-de-17.jpg,DHZ-333-photo-04-de-17.jpg,DHZ-333-photo-05-de-17.jpg,DHZ-333-photo-06-de-17.jpg,DHZ-333-photo-07-de-17.jpg,DHZ-333-photo-08-de-17.jpg,DHZ-333-photo-09-de-17.jpg,DHZ-333-photo-10-de-17.jpg
DIA-321_We_Book_Realty_(4-5)_Post,Avenida Paseo de la Reforma 150,"Juárez, Cuauhtémoc",[ Departamento en Venta ],"$16,294,220.00 mxn",2 HABITACIONES,2 BAÑOS,1 ESTACIONAMIENTO,73 m² TOTALES,DIA-321-photo-01-de-34.jpg,DIA-321-photo-02-de-34.jpg,DIA-321-photo-03-de-34.jpg,DIA-321-photo-04-de-34.jpg,DIA-321-photo-05-de-34.jpg,DIA-321-photo-06-de-34.jpg,DIA-321-photo-07-de-34.jpg,DIA-321-photo-08-de-34.jpg,DIA-321-photo-09-de-34.jpg,DIA-321-photo-10-de-34.jpg
DIM-952_We_Book_Realty_(4-5)_Post,Avenida Paseo de la Reforma 150,"Juárez, Cuauhtémoc",[ Departamento en Venta ],"$16,832,243.00 mxn",1 HABITACIÓN,2 BAÑOS,1 ESTACIONAMIENTO,78 m² TOTALES,DIM-952-photo-01-de-30.jpg,DIM-952-photo-02-de-30.jpg,DIM-952-photo-03-de-30.jpg,DIM-952-photo-04-de-30.jpg,DIM-952-photo-05-de-30.jpg,DIM-952-photo-06-de-30.jpg,DIM-952-photo-07-de-30.jpg,DIM-952-photo-08-de-30.jpg,DIM-952-photo-09-de-30.jpg,DIM-952-photo-10-de-30.jpg
DJK-126_Mel_Inmobiliaria_(4-5)_Post,Calle Río Po 53,"Cuauhtémoc, Cuauhtémoc",[ Departamento en Venta ],"$5,900,000.00 mxn",2 HABITACIONES,2 BAÑOS,2 ESTACIONAMIENTOS,96 m² TOTALES,DJK-126-photo-01-de-17.jpg,DJK-126-photo-02-de-17.jpg,DJK-126-photo-03-de-17.jpg,DJK-126-photo-04-de-17.jpg,DJK-126-photo-05-de-17.jpg,DJK-126-photo-06-de-17.jpg,DJK-126-photo-07-de-17.jpg,DJK-126-photo-08-de-17.jpg,DJK-126-photo-09-de-17.jpg,DJK-126-photo-10-de-17.jpg
DJS-493_MV21_Grupo_Inmobiliario_(4-5)_Post,calle 36 esquina calle 19 colonia aleman,"Miguel Alemán, Mérida",[ Departamento en Venta ],"$2,750,000.00 mxn",2 HABITACIONES,2 BAÑOS,1 ESTACIONAMIENTO,63 m² TOTALES,DJS-493-photo-01-de-17.jpg,DJS-493-photo-02-de-17.jpg,DJS-493-photo-03-de-17.jpg,DJS-493-photo-04-de-17.jpg,DJS-493-photo-05-de-17.jpg,DJS-493-photo-06-de-17.jpg,DJS-493-photo-07-de-17.jpg,DJS-493-photo-08-de-17.jpg,DJS-493-photo-09-de-17.jpg,DJS-493-photo-10-de-17.jpg
DKT-193_NURA_(4-5)_Post,Telchac Puerto,"Pueblo Telchac Puerto, Telchac Puerto",[ Departamento en Venta ],"$13,981,435.00 mxn",3 HABITACIONES,3 BAÑOS,1 ESTACIONAMIENTO,190 m² TOTALES,DKT-193-photo-01-de-37.jpg,DKT-193-photo-02-de-37.jpg,DKT-193-photo-03-de-37.jpg,DKT-193-photo-04-de-37.jpg,DKT-193-photo-05-de-37.jpg,DKT-193-photo-06-de-37.jpg,DKT-193-photo-07-de-37.jpg,DKT-193-photo-08-de-37.jpg,DKT-193-photo-09-de-37.jpg,DKT-193-photo-10-de-37.jpg
DLI-815_Diamond_House_(4-5)_Post,Bosque de Tabachines 327,"Bosques de las Lomas, Cuajimalpa de Morelos",[ Departamento en Venta ],"$24,000,000.00 mxn",3 HABITACIONES,3 BAÑOS,5 ESTACIONAMIENTOS,443 m² TOTALES,DLI-815-photo-01-de-38.jpg,DLI-815-photo-02-de-38.jpg,DLI-815-photo-03-de-38.jpg,DLI-815-photo-04-de-38.jpg,DLI-815-photo-05-de-38.jpg,DLI-815-photo-06-de-38.jpg,DLI-815-photo-07-de-38.jpg,DLI-815-photo-08-de-38.jpg,DLI-815-photo-09-de-38.jpg,DLI-815-photo-10-de-38.jpg
